ra,dec,sy_name,hostname,sy_snum,sy_pnum,sy_mnum,st_mass,sy_plx
28.2106607,-19.5073960,"HD 11506","HD 11506",1,3,0,,19.4792000
294.9498381,38.6051867,"KIC 3558849","KIC 3558849",1,1,0,0.95,0.7944380
285.2211238,47.8813037,"Kepler-815","Kepler-815",1,1,0,,0.7652360
296.8565596,41.7580749,"Kepler-353","Kepler-353",2,2,0,,2.5712300
289.5211955,51.2374057,"Kepler-573","Kepler-573",1,1,0,1.01,1.2674500
113.9052658,-75.5442707,"HD 62364","HD 62364",1,2,0,1.16,18.7992000
296.2220259,50.2873626,"Kepler-676","Kepler-676",1,1,0,,3.3591000
292.2349191,42.9094618,"Kepler-1718","Kepler-1718",1,1,0,,2.6342400
284.4099503,41.2374928,"Kepler-200","Kepler-200",1,2,0,,1.4729100
294.3385109,50.3365178,"Kepler-385","Kepler-385",1,3,0,1.05,0.6693690
4.6126677,44.0247296,"GJ 15","GJ 15 A",2,2,0,,280.6900000
288.6986828,39.7082044,"Kepler-626","Kepler-626",1,1,0,,1.5444300
298.2581101,47.6050031,"Kepler-125","Kepler-125",1,2,0,0.53,5.4249000
233.8173564,53.9221505,"HD 139357","HD 139357",1,1,0,1.35,8.8929900
296.1834239,47.3587776,"Kepler-525","Kepler-525",1,1,0,,0.9784910
284.9996582,49.4799506,"Kepler-1190","Kepler-1190",1,1,0,0.73,2.8908300
295.8065515,50.9097521,"Kepler-879","Kepler-879",1,1,0,0.94,1.2171000
298.3266169,45.3154212,"Kepler-1039","Kepler-1039",1,1,0,0.72,3.2295200
278.5246658,-6.0026026,"CoRoT-16","CoRoT-16",1,1,0,1.10,1.3405600
221.8857975,-0.2820782,"HD 130322","HD 130322",1,1,0,,31.3423000
290.0004154,38.5398551,"Kepler-788","Kepler-788",1,1,0,1.14,0.5348830
292.8321598,48.2193376,"Kepler-1210","Kepler-1210",1,1,0,,0.8219450
283.5329505,48.0943604,"Kepler-1667","Kepler-1667",1,1,0,,1.5665400
290.8490899,48.4159782,"Kepler-619","Kepler-619",1,3,0,,1.0816200
297.0148111,47.4864170,"Kepler-1737","Kepler-1737",1,1,0,,
294.3255898,46.0022646,"Kepler-326","Kepler-326",1,3,0,,2.0230800
294.2663250,45.2042317,"Kepler-1159","Kepler-1159",1,1,0,,0.7953590
293.5681970,39.0363123,"Kepler-276","Kepler-276",1,3,0,1.05,0.8462150
294.8654667,46.2858128,"KOI-217","KOI-217",1,1,0,,1.0647300
283.3163671,41.8370942,"Kepler-704","Kepler-704",1,1,0,,0.7853950
295.4128785,46.2665801,"Kepler-218","Kepler-218",1,3,0,1.02,1.4947200
297.3734030,40.3663986,"Kepler-1378","Kepler-1378",1,1,0,0.67,1.9476400
288.1336793,38.9968923,"Kepler-794","Kepler-794",1,1,0,,1.0451600
296.0037520,44.2775861,"Kepler-452","Kepler-452",1,1,0,0.87,1.7837500
271.4893395,-29.9172536,"HD 165155","HD 165155",1,1,0,1.02,15.7548000
144.2994103,-43.2727210,"HD 83443","HD 83443",1,2,0,,24.4215000
298.3483820,47.4913021,"Kepler-29","Kepler-29",1,2,0,0.97,1.1738500
288.1566649,41.8779417,"Kepler-1690","Kepler-1690",1,1,0,0.94,1.3921800
288.2076012,45.6834463,"Kepler-1837","Kepler-1837",1,1,0,1.01,0.7851820
286.2859300,37.3869915,"Kepler-1854","Kepler-1854",1,1,0,0.71,
,,"ROXs 42","ROXs 42 B B",2,1,0,,
284.7478834,46.3735415,"Kepler-1853","Kepler-1853",1,1,0,0.72,1.7497900
328.7181708,-77.3388025,"HD 207496","HD 207496",1,1,0,,42.3332000
289.5530051,41.2978532,"Kepler-1688","Kepler-1688",1,1,0,,
282.3635315,46.6752384,"Kepler-868","Kepler-868",1,1,0,,0.5988540
291.1384628,37.8592447,"Kepler-1733","Kepler-1733",1,1,0,1.08,0.4525850
183.7762699,-7.2575413,"HD 106515","HD 106515 A",2,1,0,0.88,29.3041000
,,"DP Leo","DP Leo Ab",2,1,0,,
103.0080750,-33.9152670,"HD 50499","HD 50499",1,2,0,,21.5765000
288.7549882,39.5636960,"Kepler-578","Kepler-578",1,1,0,,1.8183700
296.5245187,39.2498503,"Kepler-472","Kepler-472",1,1,0,,3.2327900
283.8643937,41.3463859,"Kepler-697","Kepler-697",1,1,0,,0.7544560
292.2149697,38.5485469,"Kepler-542","Kepler-542",1,1,0,,2.2647000
48.1943193,-1.1963955,"HD 19994","HD 19994",3,1,0,1.34,44.3695000
298.3026595,47.6939654,"Kepler-1167","Kepler-1167",1,1,0,0.70,1.1907500
289.1954229,46.6516055,"Kepler-1377","Kepler-1377",1,1,0,,0.8446730
293.5808607,40.4275396,"Kepler-1602","Kepler-1602",1,1,0,,1.5589900
290.1222112,43.0854070,"Kepler-866","Kepler-866",1,1,0,0.69,1.5185900
238.0735585,-18.4359716,"HD 141937","HD 141937",1,1,0,,29.9453000
343.4094703,-48.5986332,"HD 216435","HD 216435",1,1,0,,30.2896000
295.2886934,48.5997243,"Kepler-300","Kepler-300",1,2,0,,0.8816530
299.9059167,45.4396103,"Kepler-548","Kepler-548",1,1,0,0.80,1.3018000
296.2220259,50.2873626,"Kepler-676","Kepler-676",1,1,0,,3.3591000
287.2685207,34.6012095,"HD 178911","HIP 94076",3,1,0,,20.4200000
283.2125621,45.3496992,"Kepler-62","Kepler-62",1,5,0,0.64,3.2947400
293.6792058,46.8527337,"Kepler-409","Kepler-409",1,1,0,,14.6396000
287.9060885,46.9377479,"Kepler-222","Kepler-222",1,3,0,0.94,1.2893100
344.3675399,20.7690958,"51 Peg","51 Peg",1,1,0,,64.6488000
287.0940046,39.0607801,"Kepler-1728","Kepler-1728",1,1,0,,1.5056600
292.8557189,46.3911883,"Kepler-423","Kepler-423",1,1,0,1.03,1.2894100
287.9978721,50.9441847,"Kepler-113","Kepler-113",1,2,0,,3.7827900
253.3732313,-46.3333582,"HD 152079","HD 152079",1,1,0,1.08,11.3494000
290.1761688,46.6983036,"Kepler-1282","Kepler-1282",1,1,0,1.08,0.8780430
292.9712801,41.0357494,"Kepler-1312","Kepler-1312",1,2,0,0.99,3.3146600
,,"HD 43691","HD 43691 B",3,1,0,,
292.6422963,44.0876251,"Kepler-327","Kepler-327",1,3,0,,4.1037200
287.3634559,49.4568649,"Kepler-1433","Kepler-1433",1,1,0,,
295.2173259,40.5921599,"Kepler-633","Kepler-633",1,2,0,1.03,
287.2368778,43.5671665,"Kepler-1676","Kepler-1676",1,1,0,1.07,
300.5171067,44.3815508,"Kepler-79","Kepler-79",1,4,0,1.18,0.9510890
171.0715576,-1.5297610,"HD 99109","HD 99109",1,1,0,,18.2228000
270.5375417,-29.4148889,"KMT-2019-BLG-1806L","KMT-2019-BLG-1806L",1,1,0,0.75,
154.6449033,-11.7178010,"LTT 3780","LTT 3780",2,2,0,0.36,45.4644000
154.6493476,-11.7183462,"LTT 3780","LP 729-55",2,2,0,0.14,45.2879000
154.6449033,-11.7178010,"LTT 3780","LTT 3780",2,2,0,,45.4644000
176.2097267,-58.7040134,"HD 102117","HD 102117",1,1,0,1.10,25.2369000
154.6449033,-11.7178010,"LTT 3780","LTT 3780",2,2,0,0.38,45.4644000
268.9623750,-31.8170000,"OGLE-2018-BLG-1647L","OGLE-2018-BLG-1647L",1,1,0,0.09,
