pl_name,hostname,pl_masse,pl_rade,ra,dec,sy_dist
"HAT-P-2 c","HAT-P-2",3400.76395,,245.1514324,41.0479601,127.7740000
"TOI-4137 b","TOI-4137",457.67291,13.574,77.6128790,70.3910790,334.9930000
"TOI-1710 b","TOI-1710",28.30000,5.340,94.2838373,76.2110200,81.2271000
"NGTS-25 b","NGTS-25",203.09235,11.467,307.4182976,-39.0323568,521.2330000
"NGTS-27 b","NGTS-27",188.47225,15.648,206.0265266,-32.5229747,942.1220000
"TOI-3912 b","TOI-3912",129.03833,14.280,215.8014956,24.0765639,465.9920000
"TOI-2842 b","TOI-2842",,11.873,108.0442066,-10.6393400,460.9950000
"TOI-3984 A b","TOI-3984 A",,7.172,226.3371468,36.7869747,108.8830000
"TOI-2145 b","TOI-2145",1767.00000,12.419,263.7580753,40.6950428,224.7310000
"WASP-4 b","WASP-4",397.28750,15.031,353.5629149,-42.0617794,267.2060000
"TOI-2096 c","TOI-2096",,2.041,151.6186989,74.8272107,48.4809000
"WASP-4 b","WASP-4",393.13900,15.838,353.5629149,-42.0617794,267.2060000
"WASP-4 b","WASP-4",393.15571,15.211,353.5629149,-42.0617794,267.2060000
"WASP-4 b","WASP-4",368.36497,,353.5629149,-42.0617794,267.2060000
"WASP-4 b","WASP-4",409.68287,15.368,353.5629149,-42.0617794,267.2060000
"WASP-4 b","WASP-4",375.03940,14.908,353.5629149,-42.0617794,267.2060000
"WASP-4 b","WASP-4",371.86110,14.908,353.5629149,-42.0617794,267.2060000
"WASP-4 b","WASP-4",376.94638,14.807,353.5629149,-42.0617794,267.2060000
"WASP-4 b","WASP-4",,15.637,353.5629149,-42.0617794,267.2060000
"WASP-4 b","WASP-4",,,353.5629149,-42.0617794,267.2060000
"TOI-1693 b","TOI-1693",,1.410,90.3083455,34.7730904,30.7947000
"HD 149026 b","HD 149026",114.10097,7.331,247.6229827,38.3475349,75.8643000
"TOI-3819 b","TOI-3819",352.78953,13.137,121.8632568,29.3886446,558.1410000
"TOI-1736 b","TOI-1736",11.90000,3.050,43.4344615,69.1013450,88.9482000
"KELT-12 b","KELT-12",,,267.6404906,36.5701761,368.0300000
